baujahr,stadt,Bevölkerung,DistanzNamur,DistanzMaastricht,DistanzBrüssel,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
1800,FLORENVILLE,5639,114,167,172,67,259000,400.0,5,4,2,0,1,0
1800,HERSTAL,600000,72,27,103,175,199000,169.0,3,2,1,0,1,0
1802,BURG-REULAND,3956,152,104,182,86,325000,302.0,6,3,2,1,1,0
1834,WALCOURT,17516,46,141,88,176,190000,146.0,4,1,2,0,1,0
1840,MARTELANGE,1584,105,137,166,50,225000,302.0,4,2,1,0,0,1
1840,MARTELANGE,1584,105,137,166,50,195000,187.0,3,1,1,1,0,1
1840,MARTELANGE,1584,105,137,166,50,195000,208.0,2,1,1,1,0,0
1840,LENS-SAINT-REMY,414,36,66,69,185,525000,350.0,6,2,6,0,1,0
1841,ANTHISNES,3998,65,58,120,160,370000,185.0,3,1,3,0,1,0
1850,NEUFCHÂTEAU,7770,91,144,150,63,115000,161.0,3,1,1,0,1,0
1850,HANRET,592,15,83,62,165,429000,260.0,5,1,2,1,1,0
1850,HANRET,592,15,83,62,165,529000,260.0,5,1,2,1,1,0
1850,HORION-HOZÉMONT,1911,50,47,90,183,195000,195.0,3,2,2,1,0,1
1850,HORION-HOZÉMONT,1911,50,47,90,183,450000,245.0,4,2,2,1,0,1
1850,HUY,21293,38,68,86,162,220000,120.0,3,1,4,0,1,0
1850,BOVIGNY,5206,99,101,167,114,305000,250.0,4,1,9,0,1,0
1850,SOMME-LEUZE,4656,49,76,110,136,110000,140.0,3,1,7,1,1,0
1850,TIHANGE,3141,39,65,87,162,699000,350.0,4,3,5,1,1,0
1850,TIHANGE,3141,39,65,87,162,699000,350.0,4,3,5,1,1,0
1850,HORION-HOZÉMONT,1911,50,47,90,183,325000,216.0,2,1,2,1,0,1
1850,HORION-HOZÉMONT,1911,50,47,90,183,595000,357.0,2,2,2,1,0,1
1850,MONCEAU-EN-ARDENNE,3378,81,167,140,107,120000,168.0,4,1,3,0,1,0
1850,NEUFCHÂTEAU,7770,91,144,150,63,100000,153.0,2,1,1,0,1,0
1850,AUBANGE,16042,140,182,198,34,295000,191.0,3,1,3,1,1,0
1850,THIMISTER,5296,88,41,119,174,420000,170.0,5,1,14,0,1,0
1850,HUY,21293,38,68,86,162,249000,162.0,3,1,2,1,1,0
1850,SAINT-HUBERT,5598,76,120,137,92,189000,276.0,6,1,2,0,1,0
1850,LAMORTEAU,572,138,181,197,66,140000,110.0,2,1,1,1,1,0
1850,HARSIN,5474,53,97,115,115,387000,368.0,4,1,8,0,1,0
1850,VISÉ,17925,78,18,95,182,299000,225.0,5,1,9,0,1,0
1850,RIVIÈRE,12117,14,109,67,150,335000,197.0,3,1,6,1,1,0
1850,FAUVILLERS,2071,115,137,174,59,250000,329.0,4,1,4,0,1,0
1850,REMICOURT,5012,52,50,79,187,400000,215.0,3,2,18,1,1,0
1850,TROIS-PONTS,2445,118,81,151,135,400000,400.0,8,6,8,1,1,0
1850,HORION-HOZÉMONT,1911,50,47,90,183,245000,230.0,2,1,2,0,0,1
1850,OREYE,3464,59,30,80,187,80000,200.0,4,2,2,1,1,0
1850,OREYE,3464,59,30,80,187,125000,400.0,5,1,2,1,1,0
1850,VENCIMONT,499,65,151,124,126,325000,160.0,4,2,2,0,1,0
1850,MATAGNE-LA-PETITE,2967,56,158,111,147,400000,485.0,6,1,7,1,1,0
1853,HORION-HOZÉMONT,1911,50,47,90,183,285000,363.0,3,3,2,0,0,1
1855,BURG-REULAND,3956,152,104,182,86,90000,130.0,3,1,4,1,1,0
1860,BRÛLY,13476,77,176,123,177,350000,279.0,4,2,6,1,1,0
1860,FALISOLLE,3448,25,117,85,188,485000,211.0,4,2,12,1,1,0
1864,POLLEUR,11571,100,53,131,134,299000,180.0,3,1,5,0,1,0
1864,FOSSES-LA-VILLE,9311,18,108,87,168,650000,476.0,10,10,7,0,1,0
1866,AUBEL,4275,93,27,123,153,1100000,273.0,4,1,4,0,1,0
1870,FLOREFFE,7883,11,100,73,172,379000,245.0,5,1,2,0,1,0
1870,WARISOULX,695,10,88,56,160,310000,175.0,3,1,1,1,1,0
1871,PONDRÔME,9425,54,141,113,115,295000,206.0,4,1,3,1,1,0
1874,BASTOGNE,16377,86,118,147,83,185000,84.0,2,1,2,0,0,1
1874,NASSOGNE,5207,59,103,120,109,225000,190.0,4,1,3,0,1,0
1875,MARCHIN,5223,37,77,92,157,349000,250.0,3,2,3,1,1,0
1875,VILLERS-LE-BOUILLET,6600,41,58,89,190,279000,160.0,4,2,5,1,1,0
1875,VILLERS-LE-BOUILLET,6600,41,58,89,190,279000,160.0,4,2,5,1,1,0
1875,LUSTIN,2021,11,108,80,145,450000,270.0,5,1,4,0,1,0
1875,LIÈGE,195965,65,32,97,166,1399000,1300.0,1,1,8,0,1,0
1875,BASTOGNE,16377,86,118,147,83,425000,400.0,6,4,1,0,1,0
1875,BEYNE-HEUSAY,11711,73,34,105,166,255000,400.0,6,2,8,1,1,0
1876,LIÈGE,195965,65,32,97,166,1380000,1574.0,1,2,8,1,1,0
1880,SAINT-HUBERT,5598,76,120,137,92,195000,507.0,7,3,3,1,1,0
1880,REMICOURT,5012,52,50,79,187,485000,190.0,3,1,1,1,1,0
1880,OLNE,4035,87,39,117,162,895000,470.0,6,2,3,0,1,0
1887,FOSSES-LA-VILLE,9311,18,108,87,168,235000,150.0,3,1,5,0,1,0
1890,STAVELOT,7160,123,75,154,141,320000,284.0,5,2,3,0,1,0
1890,COMBLAIN-AU-PONT,5384,73,61,126,157,195000,180.0,3,1,2,0,1,0
1890,HOTTON,6043,53,90,115,131,259000,100.0,3,1,1,0,1,0
1890,VERVIERS,55592,94,46,124,140,295000,230.0,7,1,6,0,1,0
1893,LIÈGE,195965,65,32,97,166,419000,390.0,8,2,2,1,1,0
1893,VISÉ,17925,78,18,95,182,349000,333.0,6,1,6,0,1,0
1893,CHERATTE,4679,72,22,103,177,349000,333.0,6,1,6,0,1,0
1895,HOUFFALIZE,4802,104,100,164,103,340000,442.0,5,5,3,1,1,0
1896,MANHAY,3767,72,82,146,122,295000,213.0,4,1,3,0,1,0
1897,SPRIMONT,14645,83,52,116,147,160000,235.0,2,1,3,1,1,0
1899,WERBOMONT,4449,101,69,133,130,220000,170.0,3,1,7,0,1,0
1899,VILLERS-LE-BOUILLET,6600,41,58,89,190,199000,150.0,2,1,4,1,1,0
1899,AYENEUX,16235,83,35,114,163,180000,120.0,2,1,1,0,0,1
