baujahr,stadt,Bevölkerung,DistanzSaarbrücken,DistanzThionville,DistanzMetz,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
1822,VILLERS-SOUS-PAREID,79,116,61,41,94,290000,185.0,4,2,4,1,1,0
1838,BOISMONT,418,125,38,60,46,245000,130.0,3,1,3,1,0,0
1850,BASLIEUX,594,125,40,62,44,890000,500.0,11,2,2,1,1,0
1855,HAUCOURT-MOULAINE,3076,123,37,58,41,1100000,379.0,4,2,7,1,1,0
1863,BETTANGE,236,123,37,35,69,249000,256.0,4,2,1,1,1,0
1878,ROUSSY-LE-VILLAGE,1332,89,16,50,23,630000,280.0,6,3,2,1,1,0
1880,LONGUYON,5397,138,59,81,57,349000,306.0,6,2,1,1,1,0
1880,LONGUYON,5397,138,59,81,57,369000,306.0,6,2,1,1,1,0
1900,BETTAINVILLERS,356,107,36,43,48,298000,240.0,5,2,35,1,1,0
1900,PIENNES,2480,120,39,56,50,680000,400.0,8,3,51,1,1,0
1900,RÉHON,3870,123,42,64,43,185000,178.0,4,1,2,0,1,0
1904,AUDUN-LE-TICHE,6753,106,30,53,25,795000,220.0,5,1,3,1,1,0
1905,ROUSSY-LE-VILLAGE,1332,89,16,50,23,620000,235.0,4,2,2,0,1,0
1910,RÉHON,3870,123,42,64,43,430000,300.0,12,1,4,1,1,0
1930,KOENIGSMACKER,2222,79,10,38,50,149900,92.0,3,1,1,0,0,1
1930,HETTANGE-GRANDE,7618,98,10,44,25,267000,122.58,3,1,1,0,1,0
1930,BERG-SUR-MOSELLE,426,77,16,45,39,233500,300.0,3,1,1,1,1,0
1930,BERG-SUR-MOSELLE,426,77,16,45,39,236250,300.0,3,1,1,1,1,0
1930,FAMECK,13814,91,10,27,37,330750,175.0,4,1,5,1,1,0
1930,BAZAILLES,143,123,37,58,48,665000,340.0,5,2,2,1,1,0
1940,FLORANGE,11924,92,7,27,35,296000,110.0,3,2,1,0,1,0
1940,AUMETZ,2307,111,22,47,33,148000,110.2,4,1,2,0,0,1
1940,VILLERUPT,9552,107,33,54,26,149000,100.0,3,1,1,1,1,0
1940,AUDUN-LE-TICHE,6753,106,30,53,25,199000,90.0,2,1,1,1,1,0
1948,LONGUYON,5397,138,59,81,57,295000,135.0,5,2,1,0,1,0
1948,AUDUN-LE-TICHE,6753,106,30,53,25,185000,80,2,1,1,0,1,0
1950,MONT-SAINT-MARTIN,8807,116,48,70,35,270000,130.0,4,1,2,1,1,0
1950,ZOUFFTGEN,1153,94,21,48,21,210000,300.0,4,1,1,0,1,0
1950,FLORANGE,11924,92,7,27,35,265000,260.0,4,2,2,0,1,0
1954,AUDUN-LE-TICHE,6753,106,30,53,25,159000,60.0,2,1,1,1,1,0
1955,BERTRANGE,2762,86,7,25,42,436000,140.0,4,2,4,1,1,0
1957,VOLMERANGE-LES-MINES,2156,97,18,44,24,385000,155.0,4,2,1,1,1,0
1957,VILLERUPT,9552,107,33,54,26,169500,90.0,3,1,1,0,0,1
1959,MAIRY-MAINVILLE,561,116,39,52,51,158000,85.0,3,1,1,1,1,0
1960,LONGUYON,5397,138,59,81,57,89900,90.0,3,1,2,1,1,0
1960,VILLERUPT,9552,107,33,54,26,320000,85.0,3,1,7,0,1,0
1960,VILLERUPT,9552,107,33,54,26,275000,120.0,3,1,1,1,1,0
1960,VILLERUPT,9552,107,33,54,26,100000,60.0,1,1,1,0,0,1
1966,THIONVILLE,40665,94,0,30,36,267000,115.0,3,1,1,0,0,1
1968,THIONVILLE,40665,94,0,30,36,672000,243.0,4,3,1,0,1,0
1970,DISTROFF,1701,65,8,32,44,1199000,418.0,5,2,3,0,1,0
1970,THIONVILLE,40665,94,0,30,36,323000,95.0,3,1,1,1,1,0
1970,THIONVILLE,40665,94,0,30,36,178000,62.0,2,1,1,0,0,1
1970,YUTZ,16064,95,3,30,38,260000,129.0,3,1,1,0,0,1
1970,MONTIGNY-LÈS-METZ,21430,71,32,4,66,110000,71.0,3,1,1,0,0,1
1974,OTTANGE,2924,101,22,49,29,395000,113.53,4,1,2,1,1,0
1974,VALMESTROFF,270,85,11,38,50,420000,165.0,3,1,1,1,1,0
1975,THIONVILLE,40665,94,0,30,36,795000,250.0,6,3,2,1,1,0
1975,MANCE,619,104,30,40,52,670000,280.0,5,1,3,1,1,0
1977,VILLERUPT,9552,107,33,54,26,127000,71.39,2,1,1,0,0,1
1977,MONDORFF,555,75,21,52,27,382650,126.0,3,1,1,1,1,0
1980,LONGUYON,5397,138,59,81,57,1290000,340.0,3,3,2,1,1,0
1980,CHENIÈRES,637,125,39,60,44,395000,166.0,3,1,2,1,1,0
1980,VILLERS-LA-CHÈVRE,568,125,47,68,45,320000,140.0,3,1,1,1,1,0
1980,ROSBRUCK,772,19,76,52,110,450000,302.62,3,2,2,1,1,0
1982,OTTANGE,2924,101,22,49,29,499000,160.0,5,1,1,1,1,0
1983,HETTANGE-GRANDE,7618,98,10,44,25,267000,145.0,3,1,2,0,1,0
1983,THIONVILLE,40665,94,0,30,36,870000,286.0,4,2,1,1,1,0
1985,THIONVILLE,40665,94,0,30,36,525000,190.0,3,1,1,1,1,0
1985,OTTANGE,2924,101,22,49,29,399000,114.28,3,1,1,1,1,0
1985,THIONVILLE,40665,94,0,30,36,350000,285.0,5,1,1,0,0,1
1988,TRESSANGE,2069,110,20,45,34,375000,145.0,4,1,1,0,1,0
1993,FUTEAU,165,173,118,108,151,130000,75.0,2,1,1,1,1,0
1993,METZERESCHE,908,62,14,25,49,397000,162.0,3,1,4,1,1,0
1994,VILLERUPT,9552,107,33,54,26,275000,137.0,4,2,1,1,1,0
