kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
259000,1800,0,1,400.0,5,4,2,0,FLORENVILLE,5639,0,1,0,0
199000,1800,0,1,169.0,3,2,1,0,HERSTAL,600000,0,1,0,0
325000,1802,0,1,302.0,6,3,2,1,BURG-REULAND,3956,0,1,0,0
190000,1834,0,1,146.0,4,1,2,0,WALCOURT,17516,0,1,0,0
225000,1840,1,0,302.0,4,2,1,0,MARTELANGE,1584,0,1,0,0
195000,1840,1,0,187.0,3,1,1,1,MARTELANGE,1584,0,1,0,0
195000,1840,0,0,208.0,2,1,1,1,MARTELANGE,1584,0,1,0,0
525000,1840,0,1,350.0,6,2,6,0,LENS-SAINT-REMY,414,0,1,0,0
370000,1841,0,1,185.0,3,1,3,0,ANTHISNES,3998,0,1,0,0
115000,1850,0,1,161.0,3,1,1,0,NEUFCHÂTEAU,7770,0,1,0,0
429000,1850,0,1,260.0,5,1,2,1,HANRET,592,0,1,0,0
529000,1850,0,1,260.0,5,1,2,1,HANRET,592,0,1,0,0
195000,1850,1,0,195.0,3,2,2,1,HORION-HOZÉMONT,1911,0,1,0,0
450000,1850,1,0,245.0,4,2,2,1,HORION-HOZÉMONT,1911,0,1,0,0
220000,1850,0,1,120.0,3,1,4,0,HUY,21293,0,1,0,0
305000,1850,0,1,250.0,4,1,9,0,BOVIGNY,5206,0,1,0,0
110000,1850,0,1,140.0,3,1,7,1,SOMME-LEUZE,4656,0,1,0,0
699000,1850,0,1,350.0,4,3,5,1,TIHANGE,3141,0,1,0,0
699000,1850,0,1,350.0,4,3,5,1,TIHANGE,3141,0,1,0,0
325000,1850,1,0,216.0,2,1,2,1,HORION-HOZÉMONT,1911,0,1,0,0
595000,1850,1,0,357.0,2,2,2,1,HORION-HOZÉMONT,1911,0,1,0,0
120000,1850,0,1,168.0,4,1,3,0,MONCEAU-EN-ARDENNE,3378,0,1,0,0
100000,1850,0,1,153.0,2,1,1,0,NEUFCHÂTEAU,7770,0,1,0,0
295000,1850,0,1,191.0,3,1,3,1,AUBANGE,16042,0,1,0,0
420000,1850,0,1,170.0,5,1,14,0,THIMISTER,5296,0,1,0,0
249000,1850,0,1,162.0,3,1,2,1,HUY,21293,0,1,0,0
189000,1850,0,1,276.0,6,1,2,0,SAINT-HUBERT,5598,0,1,0,0
140000,1850,0,1,110.0,2,1,1,1,LAMORTEAU,572,0,1,0,0
387000,1850,0,1,368.0,4,1,8,0,HARSIN,5474,0,1,0,0
299000,1850,0,1,225.0,5,1,9,0,VISÉ,17925,0,1,0,0
335000,1850,0,1,197.0,3,1,6,1,RIVIÈRE,12117,0,1,0,0
250000,1850,0,1,329.0,4,1,4,0,FAUVILLERS,2071,0,1,0,0
400000,1850,0,1,215.0,3,2,18,1,REMICOURT,5012,0,1,0,0
400000,1850,0,1,400.0,8,6,8,1,TROIS-PONTS,2445,0,1,0,0
245000,1850,1,0,230.0,2,1,2,0,HORION-HOZÉMONT,1911,0,1,0,0
80000,1850,0,1,200.0,4,2,2,1,OREYE,3464,0,1,0,0
125000,1850,0,1,400.0,5,1,2,1,OREYE,3464,0,1,0,0
325000,1850,0,1,160.0,4,2,2,0,VENCIMONT,499,0,1,0,0
400000,1850,0,1,485.0,6,1,7,1,MATAGNE-LA-PETITE,2967,0,1,0,0
285000,1853,1,0,363.0,3,3,2,0,HORION-HOZÉMONT,1911,0,1,0,0
90000,1855,0,1,130.0,3,1,4,1,BURG-REULAND,3956,0,1,0,0
350000,1860,0,1,279.0,4,2,6,1,BRÛLY,13476,0,1,0,0
485000,1860,0,1,211.0,4,2,12,1,FALISOLLE,3448,0,1,0,0
299000,1864,0,1,180.0,3,1,5,0,POLLEUR,11571,0,1,0,0
650000,1864,0,1,476.0,10,10,7,0,FOSSES-LA-VILLE,9311,0,1,0,0
1100000,1866,0,1,273.0,4,1,4,0,AUBEL,4275,0,1,0,0
379000,1870,0,1,245.0,5,1,2,0,FLOREFFE,7883,0,1,0,0
310000,1870,0,1,175.0,3,1,1,1,WARISOULX,695,0,1,0,0
295000,1871,0,1,206.0,4,1,3,1,PONDRÔME,9425,0,1,0,0
185000,1874,1,0,84.0,2,1,2,0,BASTOGNE,16377,0,1,0,0
225000,1874,0,1,190.0,4,1,3,0,NASSOGNE,5207,0,1,0,0
349000,1875,0,1,250.0,3,2,3,1,MARCHIN,5223,0,1,0,0
279000,1875,0,1,160.0,4,2,5,1,VILLERS-LE-BOUILLET,6600,0,1,0,0
279000,1875,0,1,160.0,4,2,5,1,VILLERS-LE-BOUILLET,6600,0,1,0,0
450000,1875,0,1,270.0,5,1,4,0,LUSTIN,2021,0,1,0,0
1399000,1875,0,1,1300.0,1,1,8,0,LIÈGE,195965,0,1,0,0
425000,1875,0,1,400.0,6,4,1,0,BASTOGNE,16377,0,1,0,0
255000,1875,0,1,400.0,6,2,8,1,BEYNE-HEUSAY,11711,0,1,0,0
1380000,1876,0,1,1574.0,1,2,8,1,LIÈGE,195965,0,1,0,0
195000,1880,0,1,507.0,7,3,3,1,SAINT-HUBERT,5598,0,1,0,0
485000,1880,0,1,190.0,3,1,1,1,REMICOURT,5012,0,1,0,0
895000,1880,0,1,470.0,6,2,3,0,OLNE,4035,0,1,0,0
235000,1887,0,1,150.0,3,1,5,0,FOSSES-LA-VILLE,9311,0,1,0,0
320000,1890,0,1,284.0,5,2,3,0,STAVELOT,7160,0,1,0,0
195000,1890,0,1,180.0,3,1,2,0,COMBLAIN-AU-PONT,5384,0,1,0,0
259000,1890,0,1,100.0,3,1,1,0,HOTTON,6043,0,1,0,0
295000,1890,0,1,230.0,7,1,6,0,VERVIERS,55592,0,1,0,0
419000,1893,0,1,390.0,8,2,2,1,LIÈGE,195965,0,1,0,0
349000,1893,0,1,333.0,6,1,6,0,VISÉ,17925,0,1,0,0
349000,1893,0,1,333.0,6,1,6,0,CHERATTE,4679,0,1,0,0
340000,1895,0,1,442.0,5,5,3,1,HOUFFALIZE,4802,0,1,0,0
295000,1896,0,1,213.0,4,1,3,0,MANHAY,3767,0,1,0,0
160000,1897,0,1,235.0,2,1,3,1,SPRIMONT,14645,0,1,0,0
220000,1899,0,1,170.0,3,1,7,0,WERBOMONT,4449,0,1,0,0
199000,1899,0,1,150.0,2,1,4,1,VILLERS-LE-BOUILLET,6600,0,1,0,0
180000,1899,1,0,120.0,2,1,1,0,AYENEUX,16235,0,1,0,0
180000,1899,0,0,120.0,2,1,1,0,AYENEUX,16235,0,1,0,0
199000,1899,0,1,195.0,4,1,1,1,ÔDET,4617,0,1,0,0
140000,1899,0,1,150.0,3,1,1,1,AMAY,14231,0,1,0,0
169000,1899,0,1,157.0,4,1,1,0,JEMELLE,2006,0,1,0,0
385000,1899,0,1,700.0,8,1,20,1,VERVIERS,55592,0,1,0,0
193000,1900,0,1,187.0,3,1,1,0,CHAIRIÈRE,275,0,1,0,0
150000,1900,0,1,126.0,2,1,1,0,COMBLAIN-FAIRON,3592,0,1,0,0
190000,1900,0,1,120.0,3,1,3,1,HANNUT,16676,0,1,0,0
330000,1900,0,1,534.0,3,1,2,1,WANZE,13570,0,1,0,0
245000,1900,0,1,152.0,3,1,2,1,FERRIÈRES,5006,0,1,0,0
210000,1900,0,1,150.0,3,1,8,0,MARLOIE,2300,0,1,0,0
155000,1900,0,1,116.0,3,1,1,1,VIRTON,11233,0,1,0,0
189000,1900,1,0,99.0,2,1,2,0,CHÊNÉE,195965,0,1,0,0
289000,1900,1,0,212.0,2,1,2,1,CHÊNÉE,195965,0,1,0,0
399000,1900,0,1,246.0,3,1,4,0,MALEMPRÉ,310,0,1,0,0
190000,1900,0,1,120.0,3,1,3,1,HANNUT,16676,0,1,0,0
175000,1900,0,1,145.0,4,1,5,1,TINLOT,2747,0,1,0,0
175000,1900,0,1,145.0,4,1,5,1,HAMOIR,3874,0,1,0,0
175000,1900,0,1,145.0,4,1,5,1,OUFFET,2797,0,1,0,0
240000,1900,0,1,130.0,4,1,4,1,WAREMME,15437,0,1,0,0
320000,1900,0,1,323.0,3,1,1,0,MONCEAU-EN-ARDENNE,3378,0,1,0,0
999950,1900,0,1,286.0,3,2,7,0,PEPINSTER,9703,0,1,0,0
614000,1900,0,1,427.0,9,9,8,0,HOUFFALIZE,4802,0,1,0,0
164900,1900,0,1,75.0,2,1,1,0,SERAING,63968,0,1,0,0
155000,1900,0,1,224.0,4,1,1,0,ORCHIMONT,166,0,1,0,0
400000,1900,0,1,235.0,5,1,1,1,GEER,3485,0,1,0,0
100000,1900,0,1,155.0,2,1,2,1,OIGNIES-EN-THIÉRACHE,850,0,1,0,0
175000,1900,0,1,150.0,5,1,2,1,OLNE,4035,0,1,0,0
220000,1900,0,1,179.0,3,1,6,1,HODEIGE,5012,0,1,0,0
219000,1900,0,1,195.0,4,1,1,0,JAMBES,19399,0,1,0,0
385000,1900,0,1,393.0,5,2,1,0,GEMBES,1407,0,1,0,0
135000,1900,0,1,135.0,4,1,1,0,SAINT-MARD,10500,0,1,0,0
139000,1900,0,1,120.0,3,1,1,0,ENGIS,6206,0,1,0,0
205000,1900,0,1,290.0,3,2,1,1,ANDRIMONT,4359,0,1,0,0
180000,1900,0,1,154.0,2,1,3,0,VIELSALM,7897,0,1,0,0
385000,1902,0,1,170.0,4,1,2,1,VERLAINE,3507,0,1,0,0
695000,1902,0,1,600.0,8,3,3,0,VIRTON,11233,0,1,0,0
210000,1902,0,1,486.0,4,1,2,1,MESSANCY,8283,0,1,0,0
899000,1903,0,1,450.0,6,5,2,0,NAMUR,110175,0,1,0,0
899000,1903,0,1,450.0,6,5,2,0,WÉPION,6538,0,1,0,0
495000,1903,0,1,350.0,7,2,3,1,ANDENNE,27010,0,1,0,0
299000,1904,0,1,259.0,4,1,2,1,LIÈGE,195965,0,1,0,0
275000,1904,0,1,300.0,5,1,1,0,HALANZY,2809,0,1,0,0
350000,1905,0,1,185.0,3,1,3,1,SPRIMONT,14645,0,1,0,0
465000,1905,0,1,375.0,8,2,18,0,SERAING,63968,0,1,0,0
549000,1908,0,1,469.0,5,3,3,1,BATTICE,17598,0,1,0,0
249000,1908,0,1,143.0,4,2,2,0,ESNEUX,13049,0,1,0,0
695000,1910,0,1,662.0,16,14,1,0,BUTGENBACH,5574,0,1,0,0
395000,1911,0,1,153.0,3,1,12,0,BRAIVES,6396,0,1,0,0
589000,1912,0,1,272.0,4,2,2,0,AYWAILLE,12000,0,1,0,0
495000,1914,0,1,328.0,7,7,10,0,WELLIN,3117,0,1,0,0
165000,1915,0,1,165.0,4,2,1,0,JEMELLE,2006,0,1,0,0
525000,1918,0,1,150.0,3,1,7,0,ARLON,30047,0,1,0,0
189000,1918,0,1,108.0,3,5,2,0,NAMUR,110175,0,1,0,0
159000,1918,0,1,70.0,1,2,1,1,EMBOURG,8062,0,1,0,0
159000,1918,1,0,70.0,2,2,1,1,EMBOURG,8062,0,1,0,0
159000,1918,0,1,70.0,2,2,1,1,EMBOURG,8062,0,1,0,0
135000,1918,0,1,150.0,4,1,1,0,HUY,21293,0,1,0,0
220000,1918,0,1,358.0,4,1,4,0,BURG-REULAND,3956,0,1,0,0
460000,1918,0,1,260.0,5,1,2,0,ESNEUX,13049,0,1,0,0
