kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
290000,1822,0,1,185.0,4,2,4,1,VILLERS-SOUS-PAREID,79,0,0,0,1
245000,1838,0,0,130.0,3,1,3,1,BOISMONT,418,0,0,0,1
890000,1850,0,1,500.0,11,2,2,1,BASLIEUX,594,0,0,0,1
1100000,1855,0,1,379.0,4,2,7,1,HAUCOURT-MOULAINE,3076,0,0,0,1
249000,1863,0,1,256.0,4,2,1,1,BETTANGE,236,0,0,0,1
630000,1878,0,1,280.0,6,3,2,1,ROUSSY-LE-VILLAGE,1332,0,0,0,1
349000,1880,0,1,306.0,6,2,1,1,LONGUYON,5397,0,0,0,1
369000,1880,0,1,306.0,6,2,1,1,LONGUYON,5397,0,0,0,1
298000,1900,0,1,240.0,5,2,35,1,BETTAINVILLERS,356,0,0,0,1
680000,1900,0,1,400.0,8,3,51,1,PIENNES,2480,0,0,0,1
185000,1900,0,1,178.0,4,1,2,0,RÉHON,3870,0,0,0,1
795000,1904,0,1,220.0,5,1,3,1,AUDUN-LE-TICHE,6753,0,0,0,1
620000,1905,0,1,235.0,4,2,2,0,ROUSSY-LE-VILLAGE,1332,0,0,0,1
430000,1910,0,1,300.0,12,1,4,1,RÉHON,3870,0,0,0,1
149900,1930,1,0,92.0,3,1,1,0,KOENIGSMACKER,2222,0,0,0,1
267000,1930,0,1,122.58,3,1,1,0,HETTANGE-GRANDE,7618,0,0,0,1
233500,1930,0,1,300.0,3,1,1,1,BERG-SUR-MOSELLE,426,0,0,0,1
236250,1930,0,1,300.0,3,1,1,1,BERG-SUR-MOSELLE,426,0,0,0,1
330750,1930,0,1,175.0,4,1,5,1,FAMECK,13814,0,0,0,1
665000,1930,0,1,340.0,5,2,2,1,BAZAILLES,143,0,0,0,1
296000,1940,0,1,110.0,3,2,1,0,FLORANGE,11924,0,0,0,1
148000,1940,1,0,110.2,4,1,2,0,AUMETZ,2307,0,0,0,1
149000,1940,0,1,100.0,3,1,1,1,VILLERUPT,9552,0,0,0,1
199000,1940,0,1,90.0,2,1,1,1,AUDUN-LE-TICHE,6753,0,0,0,1
295000,1948,0,1,135.0,30,15,1,0,LONGUYON,5397,0,0,0,1
185000,1948,0,1,80.89,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
270000,1950,0,1,130.0,4,1,2,1,MONT-SAINT-MARTIN,8807,0,0,0,1
210000,1950,0,1,300.0,4,1,1,0,ZOUFFTGEN,1153,0,0,0,1
265000,1950,0,1,260.0,4,2,2,0,FLORANGE,11924,0,0,0,1
159000,1954,0,1,60.0,2,1,1,1,AUDUN-LE-TICHE,6753,0,0,0,1
