kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
1300000,1800,0,1,248.0,7,2,5,1,HEFFINGEN,824,0,0,1,0
2650000,1820,0,1,250.0,4,1,5,0,MERSCH,9195,0,0,1,0
895000,1830,0,1,163.8,5,1,5,0,LINTGEN,2226,0,0,1,0
1460000,1836,0,1,200.0,5,2,7,1,NIEDERANVEN,5439,0,0,1,0
1095000,1843,0,1,340.0,4,1,2,0,LORENTZWEILER,2973,0,0,1,0
1295000,1850,0,1,275.0,3,2,2,1,NOERTRANGE,260,0,0,1,0
1380000,1860,0,1,320.0,4,4,4,1,BOURGLINSTER,740,0,0,1,0
2825000,1870,0,1,355.0,8,2,4,1,KAYL,8982,0,0,1,0
450000,1880,0,1,124.82,3,1,1,1,ALLERBORN,59,0,0,1,0
2950000,1896,0,1,300.0,5,1,1,0,LUXEMBOURG-KIRC,6238,0,0,1,0
1150000,1900,0,1,220.0,5,2,2,0,ELVANGE,644,0,0,1,0
1340000,1900,0,1,165.0,4,1,3,1,LUXEMBOURG-DOMMELDANGE,2671,0,0,1,0
690000,1900,0,1,100.0,4,1,2,1,OETRANGE,781,0,0,1,0
1340000,1900,0,1,172.0,4,2,1,1,LUXEMBOURG-DOMMELDANGE,2671,0,0,1,0
720000,1910,0,1,130.0,4,1,6,1,CONSDORF,1745,0,0,1,0
1460000,1920,0,1,200.0,5,3,1,1,NIEDERANVEN,5439,0,0,1,0
980000,1920,0,1,170.0,5,1,3,1,SCHEIDGEN,449,0,0,1,0
745000,1920,0,1,172.0,5,1,4,1,FOUHREN,353,0,0,1,0
859000,1925,0,1,140.0,6,1,1,0,BETTEM,10700,0,0,1,0
399000,1925,0,1,125.0,3,1,5,1,WEISWAMPACH,1152,0,0,1,0
1485000,1926,0,1,110.0,4,1,4,0,LUXEMBOURG-GASPERICH,7607,0,0,1,0
790000,1927,0,1,160.0,4,1,2,1,ESCH-SUR-ALZETTE,34780,0,0,1,0
630000,1928,0,1,126.0,4,1,2,1,DUDELANGE,20400,0,0,1,0
965000,1928,0,1,182.0,4,1,3,1,DUDELANGE,20400,0,0,1,0
760000,1928,0,1,200.0,5,2,3,1,BEIDW,243,0,0,1,0
825000,1928,0,1,235.0,5,3,4,1,BEIDW,243,0,0,1,0
1585000,1929,0,1,230.0,4,3,1,1,LUXEMBOURG-ROLLINGERGRUND,4500,0,0,1,0
1790000,1929,0,1,580.0,7,3,3,0,ECHTERNACH,4610,0,0,1,0
725000,1929,0,1,140.0,4,1,1,1,SCHIFFLANGE,10300,0,0,1,0
785000,1930,0,1,180.0,5,2,1,0,ESCH-SUR-ALZETTE,34780,0,0,1,0
660000,1930,0,1,143.0,3,1,2,0,BER,13000,0,0,1,0
649000,1930,0,1,150.0,4,2,1,0,DIFFERDANGE,25400,0,0,1,0
670000,1930,1,0,130.0,4,2,1,0,ESCH-SUR-ALZETTE,34780,0,0,1,0
2250000,1930,0,1,234.0,6,2,2,1,LUXEMBOURG-LIMPERT,10900,0,0,1,0
3200000,1930,0,1,340.0,5,3,4,1,LUXEMBOURG-MERL,6264,0,0,1,0
739000,1930,0,1,140.0,4,1,1,1,NIEDERKORN,7272,0,0,1,0
690000,1930,0,1,110.0,3,1,3,0,BASCHARAGE,6590,0,0,1,0
870000,1930,0,1,200.0,4,3,1,1,DIFFERDANGE,25400,0,0,1,0
595000,1930,0,1,110.0,3,1,2,1,DIFFERDANGE,25400,0,0,1,0
555000,1931,0,1,140.0,5,1,1,1,RUMELANGE,4301,0,0,1,0
615000,1932,0,1,130.0,3,2,1,0,RODANGE,7370,0,0,1,0
